date,open,high,low,close,volume
2021-10-04 04:53:20,4325.8,4325.8,4325.5,4325.5,36
2021-10-04 04:53:25,4325.8,4325.8,4325.8,4325.8,1
2021-10-04 04:53:30,4325.8,4325.8,4325.5,4325.5,7
2021-10-04 04:53:40,4325.8,4326.0,4325.5,4326.0,74
2021-10-04 04:53:45,4326.0,4326.8,4326.0,4326.8,21
2021-10-04 04:53:55,4326.2,4326.2,4326.2,4326.2,9
2021-10-04 04:54:00,4326.0,4326.0,4325.8,4326.0,34
2021-10-04 04:54:05,4326.0,4326.0,4326.0,4326.0,6
2021-10-04 04:54:10,4325.8,4326.2,4325.8,4326.2,16
2021-10-04 04:54:15,4326.2,4326.2,4326.2,4326.2,0
2021-10-04 04:54:20,4326.0,4326.0,4326.0,4326.0,3
2021-10-04 04:54:25,4326.2,4326.5,4326.2,4326.5,31
2021-10-04 04:54:35,4326.5,4326.8,4326.2,4326.8,20
2021-10-04 04:54:45,4326.5,4326.5,4326.5,4326.5,0
2021-10-04 04:54:50,4326.8,4326.8,4326.2,4326.2,24
2021-10-04 04:54:55,4326.5,4326.8,4326.0,4326.0,54
2021-10-04 04:55:00,4326.0,4326.0,4325.0,4325.2,62
2021-10-04 04:55:05,4325.0,4325.5,4325.0,4325.5,13
2021-10-04 04:55:10,4325.5,4325.5,4325.2,4325.5,18
2021-10-04 04:55:15,4325.5,4325.5,4325.5,4325.5,4
2021-10-04 04:55:20,4325.2,4325.2,4325.2,4325.2,4
2021-10-04 04:55:30,4324.8,4324.8,4324.2,4324.2,14
2021-10-04 04:55:35,4324.5,4324.8,4324.2,4324.8,16
2021-10-04 04:55:40,4325.0,4325.5,4325.0,4325.5,32
2021-10-04 04:55:45,4325.5,4325.8,4325.5,4325.8,6
2021-10-04 04:55:50,4325.5,4326.2,4325.5,4326.2,15
2021-10-04 04:55:55,4326.0,4326.2,4326.0,4326.2,7
2021-10-04 04:56:00,4326.2,4326.8,4326.2,4326.8,21
2021-10-04 04:56:05,4327.0,4327.2,4326.8,4327.0,54
2021-10-04 04:56:10,4327.0,4327.0,4326.8,4326.8,49
2021-10-04 04:56:20,4327.0,4327.0,4327.0,4327.0,8
2021-10-04 04:56:25,4327.0,4327.8,4327.0,4327.5,44
2021-10-04 04:56:35,4327.5,4327.5,4327.5,4327.5,0
2021-10-04 04:56:40,4327.5,4327.5,4327.5,4327.5,16
2021-10-04 04:56:50,4327.5,4327.5,4327.5,4327.5,6
2021-10-04 04:56:55,4327.5,4327.5,4326.8,4327.0,65
2021-10-04 04:57:00,4327.0,4327.0,4327.0,4327.0,16
2021-10-04 04:57:05,4327.0,4327.0,4326.8,4326.8,9
2021-10-04 04:57:10,4326.8,4326.8,4326.2,4326.2,78
2021-10-04 04:57:15,4326.2,4326.5,4326.2,4326.5,14
2021-10-04 04:57:20,4326.5,4326.5,4326.5,4326.5,10
2021-10-04 04:57:25,4326.8,4327.5,4326.8,4327.5,55
2021-10-04 04:57:30,4327.8,4327.8,4327.5,4327.8,29
2021-10-04 04:57:35,4327.8,4327.8,4327.5,4327.5,11
2021-10-04 04:57:45,4327.8,4327.8,4327.8,4327.8,1
2021-10-04 04:57:50,4327.5,4327.8,4327.5,4327.5,22
2021-10-04 04:57:55,4327.8,4327.8,4327.5,4327.8,24
2021-10-04 04:58:00,4327.5,4327.8,4327.5,4327.8,11
2021-10-04 04:58:05,4327.8,4328.2,4327.8,4328.2,91
2021-10-04 04:58:10,4328.5,4329.2,4328.5,4329.2,83
2021-10-04 04:58:15,4329.2,4329.2,4328.8,4329.0,39
2021-10-04 04:58:20,4329.0,4329.2,4329.0,4329.2,18
2021-10-04 04:58:25,4329.0,4329.0,4328.5,4328.8,37
2021-10-04 04:58:30,4328.8,4328.8,4328.8,4328.8,6
2021-10-04 04:58:40,4329.2,4329.5,4329.2,4329.5,15
2021-10-04 04:58:45,4329.8,4329.8,4329.2,4329.2,76
2021-10-04 04:58:55,4329.0,4329.0,4329.0,4329.0,24
2021-10-04 04:59:00,4329.0,4329.5,4329.0,4329.5,32
2021-10-04 04:59:05,4329.5,4329.8,4329.2,4329.8,45
2021-10-04 04:59:10,4330.0,4330.5,4329.8,4330.5,114
2021-10-04 04:59:15,4330.2,4330.5,4330.2,4330.2,54
2021-10-04 04:59:20,4330.5,4331.0,4330.5,4331.0,33
2021-10-04 04:59:25,4330.8,4331.0,4330.8,4330.8,35
2021-10-04 04:59:30,4330.8,4331.0,4330.8,4330.8,14
2021-10-04 04:59:35,4330.5,4330.8,4330.5,4330.8,3
2021-10-04 04:59:40,4330.8,4331.0,4330.8,4331.0,7
2021-10-04 04:59:50,4331.5,4331.8,4331.5,4331.8,36
2021-10-04 04:59:55,4332.0,4332.2,4330.5,4330.5,127
2021-10-04 05:00:05,4329.8,4330.5,4329.0,4330.5,138
2021-10-04 05:00:15,4331.8,4331.8,4331.5,4331.5,27
2021-10-04 05:00:20,4331.2,4332.2,4331.2,4332.0,116
2021-10-04 05:00:25,4332.2,4333.5,4332.2,4333.5,204
2021-10-04 05:00:30,4333.2,4333.2,4332.2,4333.0,74
2021-10-04 05:00:35,4332.8,4334.5,4332.8,4333.5,215
2021-10-04 05:00:40,4333.5,4334.2,4333.5,4334.0,72
2021-10-04 05:00:45,4334.2,4334.2,4333.5,4334.0,137
2021-10-04 05:00:55,4332.8,4333.8,4332.8,4333.5,132
2021-10-04 05:01:00,4333.8,4334.5,4333.8,4334.0,57
2021-10-04 05:01:05,4334.0,4334.0,4333.2,4333.8,90
2021-10-04 05:01:10,4333.5,4333.8,4333.5,4333.8,34
2021-10-04 05:01:15,4333.5,4333.5,4333.0,4333.5,52
2021-10-04 05:01:20,4333.8,4333.8,4333.5,4333.5,56
2021-10-04 05:01:25,4333.2,4333.5,4333.0,4333.5,71
2021-10-04 05:01:30,4333.5,4334.2,4333.2,4334.2,86
2021-10-04 05:01:35,4334.5,4334.8,4333.5,4333.8,93
2021-10-04 05:01:40,4333.5,4334.0,4333.5,4333.8,127
2021-10-04 05:01:50,4333.0,4333.2,4333.0,4333.2,53
2021-10-04 05:02:00,4332.8,4332.8,4332.0,4332.2,42
2021-10-04 05:02:05,4332.0,4332.5,4332.0,4332.2,13
2021-10-04 05:02:10,4332.5,4332.8,4332.5,4332.8,63
2021-10-04 05:02:15,4332.5,4332.8,4332.5,4332.8,56
2021-10-04 05:02:20,4333.0,4333.2,4333.0,4333.0,39
2021-10-04 05:02:25,4333.0,4333.2,4332.8,4332.8,16
2021-10-04 05:02:30,4333.0,4333.0,4332.8,4332.8,20
2021-10-04 05:02:35,4332.8,4333.0,4332.8,4333.0,21
2021-10-04 05:02:40,4333.0,4334.2,4333.0,4334.0,83
2021-10-04 05:02:45,4333.8,4334.0,4333.5,4333.8,41
2021-10-04 05:02:50,4333.8,4334.0,4333.8,4333.8,49
2021-10-04 05:02:55,4333.8,4334.2,4333.8,4333.8,37
2021-10-04 05:03:05,4333.8,4334.0,4333.8,4334.0,25
2021-10-04 05:03:10,4334.2,4334.5,4333.8,4334.2,52
2021-10-04 05:03:15,4334.0,4334.5,4333.8,4334.5,66
2021-10-04 05:03:20,4334.5,4334.5,4333.5,4333.8,20
2021-10-04 05:03:30,4333.5,4334.2,4333.5,4334.2,30
2021-10-04 05:03:35,4334.0,4334.0,4333.0,4333.2,79
2021-10-04 05:03:40,4333.2,4333.8,4333.2,4333.8,36
2021-10-04 05:03:45,4333.5,4333.8,4333.0,4333.0,113
2021-10-04 05:03:50,4333.0,4333.2,4333.0,4333.0,24
2021-10-04 05:03:55,4333.2,4333.5,4333.2,4333.5,31
2021-10-04 05:04:00,4333.8,4334.8,4333.8,4334.5,35
2021-10-04 05:04:10,4333.8,4334.5,4333.8,4334.0,32
2021-10-04 05:04:15,4334.0,4334.5,4334.0,4334.2,6
2021-10-04 05:04:20,4334.0,4334.0,4333.8,4333.8,10
2021-10-04 05:04:25,4334.0,4334.0,4333.2,4333.2,39
2021-10-04 05:04:35,4333.2,4333.2,4332.5,4332.5,50
2021-10-04 05:04:40,4332.5,4332.5,4331.2,4331.8,164
2021-10-04 05:04:45,4331.8,4332.2,4331.8,4332.0,55
2021-10-04 05:04:50,4331.8,4332.2,4331.0,4331.2,66
2021-10-04 05:04:55,4331.0,4331.5,4331.0,4331.5,25
2021-10-04 05:05:05,4332.5,4332.8,4332.5,4332.8,46
2021-10-04 05:05:15,4332.5,4333.0,4332.5,4333.0,37
2021-10-04 05:05:25,4332.8,4332.8,4332.5,4332.5,26
2021-10-04 05:05:30,4332.5,4333.0,4332.5,4332.8,44
2021-10-04 05:05:35,4332.8,4332.8,4332.8,4332.8,1
2021-10-04 05:05:45,4333.0,4333.2,4333.0,4333.2,6
2021-10-04 05:05:50,4332.8,4332.8,4332.2,4332.5,77
2021-10-04 05:05:55,4332.2,4332.5,4332.2,4332.5,7
2021-10-04 05:06:00,4332.2,4332.8,4332.0,4332.8,15
2021-10-04 05:06:05,4332.5,4332.5,4332.5,4332.5,20
2021-10-04 05:06:10,4332.8,4332.8,4332.0,4332.2,31
2021-10-04 05:06:15,4332.5,4332.5,4332.2,4332.5,11
2021-10-04 05:06:25,4332.5,4333.2,4332.5,4333.2,17
2021-10-04 05:06:35,4334.0,4334.2,4333.8,4334.2,68
2021-10-04 05:06:40,4334.0,4334.2,4334.0,4334.2,40
2021-10-04 05:06:45,4334.2,4334.5,4334.0,4334.0,20
2021-10-04 05:06:55,4333.2,4333.5,4333.2,4333.5,21
2021-10-04 05:07:00,4333.5,4334.0,4333.5,4333.5,15
2021-10-04 05:07:05,4333.2,4333.2,4333.2,4333.2,8
2021-10-04 05:07:10,4333.0,4333.2,4332.8,4332.8,50
2021-10-04 05:07:15,4332.8,4332.8,4332.2,4332.5,21
2021-10-04 05:07:20,4332.5,4332.8,4332.0,4332.2,53
